id,Agent,LStreet,LCity,LState,LZip,Deactivation,County
100000,Go Mart #27,401 16th St,Dunbar,WV,25064,30-Jun-21,KANAWHA
100587,Go Mart #07,722 Bigley Ave,Charleston,WV,25302,30-Jun-21,KANAWHA
100596,Bigley Piggly Wiggly,10 Spring St W,Charleston,WV,25302,30-Jun-21,KANAWHA
100730,Go Mart #26,318 Walbash Ave,Burnsville,WV,26335,30-Jun-21,BRAXTON
100848,Go Mart #22,Rt 60 West,Cedar Grove,WV,25039,30-Jun-21,KANAWHA
100910,Charleston Town Center,3000 Charleston Town Ctr,Charleston,WV,25389,30-Jun-18,KANAWHA
100938,Go Mart #23,718 Chestnut St,South Charleston,WV,25309,30-Jun-21,KANAWHA
101028,Go Mart #19,247 Craigsville Rd,Craigsville,WV,26205,30-Jun-21,NICHOLAS
101064,Go Mart #16,123 Goff Mountain Rd,Charleston,WV,25313,30-Jun-21,KANAWHA
101242,Durans Grocery,7299 Coal River Rd,Tornado,WV,25202,30-Jun-21,KANAWHA
101386,Dave'S Tavern & Grill,1630 Oakhurst Dr,Charleston,WV,25314,30-Jun-20,KANAWHA
101420,Fas Chek  #4,4112 Malden Dr,Charleston,WV,25306,30-Jun-16,KANAWHA
101448,Fas Chek #1,405 Washington St W,Charleston,WV,25302,30-Jun-16,KANAWHA
101466,Kanawha City Piggly Wiggly,5003 Maccorkle Ave Se,Charleston,WV,25304,30-Jun-21,KANAWHA
101537,Go Mart #01,501 Elk St,Gassaway,WV,26624,30-Jun-21,BRAXTON
101911,Go Mart #25,415 Hurricane Creek Rd,Hurricane,WV,25526,30-Jun-21,PUTNAM
101993,Jolly Pirate Donuts,4526 Us Route 60,Huntington,WV,25705,30-Jun-21,CABELL
102055,Go Mart #12,5020 Mccorkle Ave Se,Charleston,WV,25304,30-Jun-21,KANAWHA
102134,Kroger  #778,500 Delaware Ave,Charleston,WV,25302,30-Jun-21,KANAWHA
102143,Kroger 751,2700 Dupont Ave,Belle,WV,25015,30-Jun-15,KANAWHA
102152,Kroger  #769,5 Riverwalk Mall,South Charleston,WV,25303,30-Jun-21,KANAWHA
102189,Kroger  #785,1100 Fledder John Rd,Charleston,WV,25314,30-Jun-21,KANAWHA
102222,Kroger  #768,981 Dunbar Village Plz,Dunbar,WV,25064,30-Jun-21,KANAWHA
102231,Kroger  #725,1439 Maccorkle Ave Sw,Saint Albans,WV,25177,30-Jun-21,KANAWHA
102240,Kroger  #788,6360 Us Route 60 E,Barboursville,WV,25504,30-Jun-21,CABELL
102259,Kroger  #739,1125 State St,Gassaway,WV,26624,30-Jun-21,BRAXTON
102277,Kroger  #754,10635 Maccorkle Ave,Marmet,WV,25315,30-Jun-21,KANAWHA
102286,Kroger  #763,5450 Big Tyler Rd,Charleston,WV,25313,30-Jun-21,KANAWHA
102295,Kroger  #772,5717 Maccorkle Ave Se,Charleston,WV,25304,30-Jun-21,KANAWHA
102374,Go Mart #34,1310 Sutton Ln,Sutton,WV,26601,30-Jun-21,BRAXTON
