ID,Agent,LCity,BZip,County
146351,Smoker Friendly #42,Hurricane,25526,PUTNAM
146352,A & P Stop,Gallipolis Ferry,25515,MASON
146353,Little General  #7555,Beckley,25802,RALEIGH
146341,Speedway #9381,Parkersburg,26101,WOOD
146355,Hardys Mini Mart,Beaver,25813,RALEIGH
146347,Piedmont Pit Stop Llc,Piedmont,26750,MINERAL
146339,Mj Mart,Bluefield,24701,MERCER
146358,7-Eleven #28309a,Charles Town,25414,JEFFERSON
146359,Sheetz #547,Huntington,25703,CABELL
146360,Sheetz #546,Martinsburg,25405,BERKELEY
146362,Jersey'S I,Danville,25053,BOONE
146357,Fast Stop,Princeton,24740,MERCER
146369,Go Mart #119,White Sulphur Springs,24986,GREENBRIER
146365,New Pickaway Llc,Sinks Grove,24976,MONROE
146371,Ruff Creek Markets #1715,Moundsville,26041,MARSHALL
146366,Same Old Place #60,Huntington,25705,CABELL
146370,Jersey'S Ii,Logan,25601,LOGAN
146375,Jakhrani Exxon Llc,Smithers,25186,FAYETTE
146368,Jody'S Place Ii,South Charleston,25309,KANAWHA
146363,The Castle,Fairmont,26554,MARION
146372,Tg'S Lounge & Cafe,Fairmont,26554,MARION
146367,Same Old Place (Poca Location),Poca,25159,PUTNAM
146373,R & R Hot Spot,Morgantown,26501,MONONGALIA
146377,La Rae'S,Huntington,25705,CABELL
146381,Go Mart #120,Summersville,26651,NICHOLAS
146378,New Front Room Bar & Grill Llc,Logan,25601,LOGAN
146374,Pipestem One-Stop Llc,Athens,24712,MERCER
146384,B & S Food Mart,West Milford,26451,HARRISON
146382,Uncle Charlie'S,Clarksburg,26301,HARRISON
146380,Route 3 Company Store & Diner,Whitesville,25209,BOONE
146389,Go Mart #123,Paden City,26159,WETZEL
146390,The Loading Zone #700,Wellsburg,26070,BROOKE
146391,Prichard Mart & Deli,Prichard,25555,WAYNE
146395,Gus'S Mart,Hurricane,25526,PUTNAM
146394,Bfs Foods  #77,Clarksburg,26301,HARRISON
146396,Tomlinson'S Union Country Stor,Union,24983,MONROE
146388,Ruby'S,Martinsburg,25404,BERKELEY
146398,Go Mart #115,Parkersburg,26101,WOOD
146387,Ac General Store,Mount Storm,26739,GRANT
146385,Stoney Creek Country Store,Great Cacapon,25422,MORGAN
146399,U-Save #2 Food Stores Inc,Summersville,26651,NICHOLAS
146401,Sheetz #561,Beckley,25801,RALEIGH
146408,Sheetz #556,Morgantown,26505,MONONGALIA
146402,"Hersman Pit Stop, Llc",Mount Zion,26151,CALHOUN
146407,Summersville Exxon,Summersville,26651,NICHOLAS
146403,Penny'S Kwik Stop Inc,Iaeger,24844,MCDOWELL
146386,The Loading Zone #600,Triadelphia,26059,OHIO
146404,Texas Jim #5,Hurricane,25526,PUTNAM
146413,Sheetz #563,Elkins,26241,RANDOLPH
146409,Daddy Lou'S Pub,Keyser,26726,MINERAL
146411,East Fairmont Shop N Save,Fairmont,26554,MARION
146400,Ruby'S,Martinsburg,25404,BERKELEY
146405,Mossy T & C,Scarbro,25917,FAYETTE
146406,Riffe'S One Stop,Lindside,24951,MONROE
146414,Jeanie'S Hot Spot,Elkins,26241,RANDOLPH
146415,Pit Stop,Fort Gay,25514,WAYNE
146416,Christine'S Hot Spot Lounge #6,Clarksburg,26301,HARRISON
146417,Black Bear Express,Anmoore,26323,HARRISON
146379,Quick Grabs,Fairmont,26554,MARION
146420,Little General #7570,South Charleston,25309,KANAWHA
146425,M & C Market,Rock,24747,MERCER
146422,Go Mart #122,Parkersburg,26101,WOOD
146419,Wheeling Post #1,Wheeling,26003,OHIO
146424,Rt 119 Quick Stop,Gandeeville,25243,ROANE
146426,Lea'S Place Llc,Bridgeport,26330,HARRISON
146428,Patterson Creek Liberty Llc,Petersburg,26847,GRANT
146430,Peps Mini Mart,Follansbee,26037,BROOKE
146421,Fork Creek Mini Mart Llc,Nellis,25142,BOONE
146427,Ez Mart #1,Oak Hill,25901,FAYETTE
146431,Smoker Friendly #43,Glenville,26351,GILMER
146429,Kwick Stop Inc,Belle,25015,KANAWHA
146432,Alexander Mart,Smithers,25186,FAYETTE
146433,Grandview Exxon Llc,Beaver,25813,RALEIGH
146423,Smart Stop,Oak Hill,25901,FAYETTE
146434,Phillips Stores Llc,Lerona,25971,MERCER
146436,Little General #7575,Morgantown,26505,MONONGALIA
146437,Little General #7580,Morgantown,26505,MONONGALIA
146438,Curby'S Two,New Martinsville,26155,WETZEL
146446,Deerfield Express,Fairmont,26554,MARION
146440,Emerson Perk Front Row,Parkersburg,26101,WOOD
146441,Gary'S Always Hot #3,Parkersburg,26101,WOOD
146449,Speedway #9384,Culloden,25510,CABELL
146435,Julia'S W,Martinsburg,25403,BERKELEY
146447,Sheetz #584,Ripley,25271,JACKSON
146443,Christines Hot Spot Lounge #9,Buckhannon,26201,UPSHUR
146451,7-Eleven #34688a,Ranson,25438,JEFFERSON
146450,Riverside Exxon,Alderson,24910,GREENBRIER
146445,Corner Grill & Bar,Triadelphia,26059,OHIO
146442,Christines Hot Spot Lounge #8,Clarksburg,26301,HARRISON
146454,Sheetz #585,South Charleston,25309,KANAWHA
146448,Sheetz #575,Morgantown,26505,MONONGALIA
146444,Bree'S Sports Bar & Perk,Parkersburg,26101,WOOD
146452,7-Eleven #28320b,Falling Waters,25419,BERKELEY
146457,7-Eleven #28303a,Berkeley Springs,25411,MORGAN
146456,Little General #7560,Beaver,25813,RALEIGH
146455,Ez Mart #2,Lewisburg,24901,GREENBRIER
146458,Pifer'S Market,Mineral Wells,26150,WOOD
146439,Jessica'S Place,Huntington,25705,CABELL
146460,Stop In Food Stores #8098,Crawley,24931,GREENBRIER
146461,Stop In Food Stores #8211,Lewisburg,24901,GREENBRIER
146462,Stop In Food Stores #8140,Ronceverte,24970,GREENBRIER
146465,Speedway #3956,Elkins,26241,RANDOLPH
146459,Cold Spot,Charleston,25313,KANAWHA
146463,Express Market,East Bank,25067,KANAWHA
146466,7-Eleven #18665a,Kearneysville,25430,JEFFERSON
146470,Bfs Foods #79,Buckhannon,26201,UPSHUR
146471,Grade Road Station Llc,Falling Waters,25419,BERKELEY
146473,Bfs Foods #78,Parkersburg,26104,WOOD
146474,7-Eleven #10673a,Ranson,25438,JEFFERSON
146475,Richwood Mini Mart,Morgantown,26505,MONONGALIA
146478,Turnoutz V Lp,Roanoke,23234,CHESTERFIELD
146468,Kountry Mart,Mount Lookout,26678,NICHOLAS
146464,The Lighthouse,Huntington,25702,CABELL
146469,Paradise Food Mart,Wheeling,26003,OHIO
146480,Julian Mini-Mart,Julian,25529,BOONE
146483,Par Mar #15,Belle,25015,KANAWHA
146487,White Sulphur Shell,White Sulphur Springs,24986,GREENBRIER
146488,Lewisburg Exxon,Lewisburg,24901,GREENBRIER
146484,Chester Beverage Drive-Thru,Chester,26034,HANCOCK
146477,Eagle Mart,Hedgesville,25427,BERKELEY
146490,7-Eleven #20685a,Shepherdstown,25443,JEFFERSON
146486,Creekside One Stop,Burlington,26710,MINERAL
146491,Smith Oil #207,Wheeling,26003,OHIO
146495,One Stop #8130,Delbarton,25670,MINGO
146496,One Stop #8520,Kenna,25248,JACKSON
146497,One Stop #8132,Delbarton,25670,MINGO
146498,One Stop #8538,Delbarton,25670,MINGO
146499,One Stop #8108,Beckley,25801,RALEIGH
146500,One Stop #8533,Daniels,25832,RALEIGH
146501,One Stop #8006,Whitesville,25209,BOONE
146502,One Stop #8133,Sophia,25921,RALEIGH
146503,One Stop #8013,Beckley,25801,RALEIGH
146504,One Stop #8522,Charleston,25314,KANAWHA
146505,One Stop #8534,Ashford,25009,BOONE
